Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
ZAF,2020-01-01,2020-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7001,January,LCU,8804.900000,A
ZAF,2020-02-01,2020-02-29,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7002,February,LCU,8357.300000,A
ZAF,2020-03-01,2020-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7003,March,LCU,7800.200000,A
ZAF,2020-04-01,2020-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7004,April,LCU,6971.500000,A
ZAF,2020-05-01,2020-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7005,May,LCU,6733.400000,A
ZAF,2020-06-01,2020-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7006,June,LCU,6515.200000,A
ZAF,2020-07-01,2020-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7007,July,LCU,6639.100000,A
ZAF,2020-08-01,2020-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7008,August,LCU,6698.700000,A
ZAF,2020-09-01,2020-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7009,September,LCU,6833.700000,A
ZAF,2020-10-01,2020-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7010,October,LCU,7515.300000,A
ZAF,2020-11-01,2020-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7011,November,LCU,8156.000000,A
ZAF,2020-12-01,2020-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7012,December,LCU,8242.900000,A
ZAF,2021-01-01,2021-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,7501.000000,A
ZAF,2021-01-01,2021-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2021,2021,7001,January,LCU,9418.800000,A
ZAF,2021-02-01,2021-02-28,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2021,2021,7002,February,LCU,8754.800000,A
ZAF,2021-03-01,2021-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2021,2021,7003,March,LCU,7796.100000,A
